instrument,sharpe,max_drawdown,annualized_return,turnover
USDCNY,-0.4553798181,-0.05835434242,-0.008874145572,0.08674016949
USDJPY,-0.1699597152,-0.06613568073,-0.005819401082,0.05193362419
AUDUSD,-0.5327876185,-0.09538596317,-0.01477218395,0.05815007784
EURUSD,0.2958711753,-0.03994149916,0.008837590608,0.06482121019
