overall_rank,pair1,pair2,rank_model_a_strength,zscore_model_a_strength,adf_p_model_a_strength,adf_stat_model_a_strength,corr_1m_model_a_strength,corr_3m_model_a_strength,corr_6m_model_a_strength,corr_9m_model_a_strength,corr_12m_model_a_strength,rank_model_b_divergence,zscore_model_b_divergence,adf_p_model_b_divergence,adf_stat_model_b_divergence,corr_1m_model_b_divergence,corr_3m_model_b_divergence,corr_6m_model_b_divergence,corr_9m_model_b_divergence,corr_12m_model_b_divergence,rank_model_c_cointegration,zscore_model_c_cointegration,adf_p_model_c_cointegration,adf_stat_model_c_cointegration,corr_1m_model_c_cointegration,corr_3m_model_c_cointegration,corr_6m_model_c_cointegration,corr_9m_model_c_cointegration,corr_12m_model_c_cointegration,avg_rank,conviction_score,avg_zscore,conviction,suggested_direction,reason
12,EURUSD,USDCNY,17.0,-0.334529083392274,,,0.05306424577357678,-0.38619753729941236,-0.12524978734913614,-0.13624445372198335,-0.15364274485898446,4.0,-0.334529083392274,,,0.05306424577357678,-0.38619753729941236,-0.12524978734913614,-0.13624445372198335,-0.15364274485898446,17.0,-0.334529083392274,7.983930169128547e-19,-10.55523658528921,0.05306424577357678,-0.38619753729941236,-0.12524978734913614,-0.13624445372198335,-0.15364274485898446,12.666666666666666,41.66666666666667,-0.334529083392274,Medium,long pair2 / short pair1,Model B(背离)排名第4/21：1m相关性0.05 偏离 12m基准-0.15，背离幅度0.21
13,EURUSD,USDJPY,2.0,-0.03540280411740045,,,-0.5898050785821596,-0.5837849557160665,-0.6518127366544278,-0.6253053625202185,-0.6721838463643443,21.0,-0.03540280411740045,,,-0.5898050785821596,-0.5837849557160665,-0.6518127366544278,-0.6253053625202185,-0.6721838463643443,19.0,-0.03540280411740045,3.3356595498009526e-15,-9.114237872782116,-0.5898050785821596,-0.5837849557160665,-0.6518127366544278,-0.6253053625202185,-0.6721838463643443,14.0,35.0,-0.03540280411740045,Low,long pair2 / short pair1,Model A(强度/稳定性)排名第2/21：1m相关性-0.59、12m相关性-0.67，多窗口下相关性强且一致
14,AUDNZD,USDCNY,21.0,-0.39534504500719275,,,0.16876691542338149,0.1544906510834615,-0.06327330103868369,-0.04164866010323295,-0.024176073578870513,5.0,-0.39534504500719275,,,0.16876691542338149,0.1544906510834615,-0.06327330103868369,-0.04164866010323295,-0.024176073578870513,18.0,-0.39534504500719275,5.430220613552653e-18,-10.217586993379165,0.16876691542338149,0.1544906510834615,-0.06327330103868369,-0.04164866010323295,-0.024176073578870513,14.666666666666666,31.666666666666668,-0.39534504500719275,Low,long pair2 / short pair1,Model B(背离)排名第5/21：1m相关性0.17 偏离 12m基准-0.02，背离幅度0.19
15,USDJPY,AUDNZD,11.0,-0.012532253827710425,,,0.133847905773274,0.06044579512501469,0.08969283098450297,0.12587813106551782,0.12297932718742535,21.0,-0.012532253827710425,,,0.133847905773274,0.06044579512501469,0.08969283098450297,0.12587813106551782,0.12297932718742535,13.0,-0.012532253827710425,2.4932148495940437e-28,-15.489827550072,0.133847905773274,0.06044579512501469,0.08969283098450297,0.12587813106551782,0.12297932718742535,15.0,30.0,-0.012532253827710426,Low,long pair2 / short pair1,Model A(强度/稳定性)排名第11/21：1m相关性0.13、12m相关性0.12，多窗口下相关性强且一致
16,GBPUSD,AUDNZD,14.0,0.053824469710122815,,,-0.1640995055694915,-0.0212481462381797,-0.03547637307160553,-0.10614299048446361,-0.14269620325569665,21.0,0.053824469710122815,,,-0.1640995055694915,-0.0212481462381797,-0.03547637307160553,-0.10614299048446361,-0.14269620325569665,11.0,0.053824469710122815,1.3471209145595277e-28,-15.714460245115388,-0.1640995055694915,-0.0212481462381797,-0.03547637307160553,-0.10614299048446361,-0.14269620325569665,15.333333333333334,28.333333333333332,0.053824469710122815,Low,short pair2 / long pair1,Model C(cointegration)排名第11/21：价差ADF检验统计量=-15.7（越负越显著），p值<0.001，存在统计意义上的均值回归证据
17,AUDNZD,USDTWD,20.0,-0.1727775293104621,,,-0.027319629065161957,0.15248908505774883,0.02600704554079643,0.02842498603102872,0.06502699226439375,21.0,-0.1727775293104621,,,-0.027319629065161957,0.15248908505774883,0.02600704554079643,0.02842498603102872,0.06502699226439375,6.0,-0.1727775293104621,0.0,-19.67809631689301,-0.027319629065161957,0.15248908505774883,0.02600704554079643,0.02842498603102872,0.06502699226439375,15.666666666666666,26.666666666666668,-0.1727775293104621,Low,long pair2 / short pair1,Model C(cointegration)排名第6/21：价差ADF检验统计量=-19.7（越负越显著），p值<0.001，存在统计意义上的均值回归证据
18,USDJPY,USDKRW,6.0,-0.027520761466203355,,,0.4394036676558711,0.5017009803129079,0.5340948645398913,0.44126584879230957,0.44685612857229534,21.0,-0.027520761466203355,,,0.4394036676558711,0.5017009803129079,0.5340948645398913,0.44126584879230957,0.44685612857229534,21.0,-0.027520761466203355,4.676271868075379e-13,-8.275219724512715,0.4394036676558711,0.5017009803129079,0.5340948645398913,0.44126584879230957,0.44685612857229534,16.0,25.0,-0.027520761466203355,Low,long pair2 / short pair1,Model A(强度/稳定性)排名第6/21：1m相关性0.44、12m相关性0.45，多窗口下相关性强且一致
19,EURUSD,AUDNZD,18.0,-0.009420362012675118,,,-0.1882081468430705,0.06363655787443309,-0.05280432961645402,-0.11195739079005058,-0.11938094519811333,21.0,-0.009420362012675118,,,-0.1882081468430705,0.06363655787443309,-0.05280432961645402,-0.11195739079005058,-0.11938094519811333,12.0,-0.009420362012675118,1.4155669720452017e-28,-15.695822136646417,-0.1882081468430705,0.06363655787443309,-0.05280432961645402,-0.11195739079005058,-0.11938094519811333,17.0,20.0,-0.009420362012675118,Low,long pair2 / short pair1,Model C(cointegration)排名第12/21：价差ADF检验统计量=-15.7（越负越显著），p值<0.001，存在统计意义上的均值回归证据
20,USDJPY,USDCNY,16.0,-0.35643707191756735,,,0.01802844120928532,0.400359547229041,0.09491696960759963,0.13948174791897885,0.16177394626673344,21.0,-0.35643707191756735,,,0.01802844120928532,0.400359547229041,0.09491696960759963,0.13948174791897885,0.16177394626673344,15.0,-0.35643707191756735,2.1230605765780584e-21,-11.643148857140991,0.01802844120928532,0.400359547229041,0.09491696960759963,0.13948174791897885,0.16177394626673344,17.333333333333332,18.33333333333334,-0.35643707191756735,Low,long pair2 / short pair1,Model C(cointegration)排名第15/21：价差ADF检验统计量=-11.6（越负越显著），p值<0.001，存在统计意义上的均值回归证据
21,GBPUSD,USDCNY,19.0,-0.19557496223226584,,,-0.023814192801912066,-0.39337409445046756,-0.09617954407009728,-0.09455334013984497,-0.127513982720274,21.0,-0.19557496223226584,,,-0.023814192801912066,-0.39337409445046756,-0.09617954407009728,-0.09455334013984497,-0.127513982720274,16.0,-0.19557496223226584,6.606825552561849e-19,-10.58887810820479,-0.023814192801912066,-0.39337409445046756,-0.09617954407009728,-0.09455334013984497,-0.127513982720274,18.666666666666668,11.66666666666666,-0.19557496223226586,Low,long pair2 / short pair1,Model C(cointegration)排名第16/21：价差ADF检验统计量=-10.6（越负越显著），p值<0.001，存在统计意义上的均值回归证据
