,model_a_strength,model_b_divergence,model_c_cointegration
2022-06-09,0.0,0.0,0.0
2022-06-10,0.0006871607703277341,3.825847444172522e-05,0.0
2022-06-13,3.348465175374019e-05,-0.001377363054698027,-0.0025677048518549608
2022-06-14,-0.004851737838645601,-0.004649976957101506,-0.005055139887284871
2022-06-15,-0.002411175138900646,0.0006629809449191014,-0.0005215588599471873
2022-06-16,0.004100814786160086,0.0,0.0
2022-06-17,-0.0030500996595703798,0.006009856477270044,0.0058614094789113756
2022-06-20,0.00257651905328019,0.006301639917275457,0.0004623469226680977
2022-06-21,-1.2883048460606342e-05,0.00035793356856739613,0.0
2022-06-22,-5.277689393567393e-07,0.0,-5.277689393567393e-07
2022-06-23,8.115650249375595e-05,0.0002201030517205543,8.115650249375595e-05
2022-06-24,-0.0006718683212778055,-0.0007296061160075269,-0.0007085829126326532
2022-06-27,0.0007743074678969024,0.0006477437498652067,0.0006501664177279992
2022-06-28,0.0020784604663960835,-0.0010353339046003445,0.0013820343915928878
2022-06-29,0.000771274852270495,0.0020711212446804608,0.000771274852270495
2022-06-30,0.0008821435675844107,-0.00010373221836789906,0.0008821435675844107
2022-07-01,0.0028408694533344123,0.001571560194804308,0.0028760805150999393
2022-07-04,0.0028757580628849485,0.0022274863434970336,0.0028757580628849485
2022-07-05,0.0001653415036776068,0.0001983164502349733,0.0002400190571876661
2022-07-06,-6.3518470181632165e-06,0.0004668239558098211,-6.3518470181632165e-06
2022-07-07,0.0005390230945505428,0.0006684282038063095,0.0005390230945505428
2022-07-08,-0.003111381685243655,-0.0003954568519490589,-0.002597203932000681
2022-07-11,-0.0005083526709431512,-0.0005437668820334939,-0.0011709593642802614
2022-07-12,0.0003853899467534508,0.0007951327442418098,0.0010829389302621966
2022-07-13,0.0021048005391260016,0.001249605461916969,0.003253193705797161
2022-07-14,0.00011995539545004054,0.0006874299553887629,2.747079093226465e-05
2022-07-15,0.0,0.0007835806686989392,0.0
2022-07-18,-0.0019202321856734198,-0.0005202777789373113,-0.0019202321856734198
2022-07-19,-0.0013464336907833142,0.0,0.0
2022-07-20,0.000893772270477022,9.749559060182064e-05,0.0004937396133188606
2022-07-21,0.0016871605467479267,0.001877723227723625,0.003619999379699438
2022-07-22,0.0003812647782945795,0.00034331808478464166,0.0006426527496856382
2022-07-25,6.23896844995527e-05,0.00014382302187102697,0.001082542853057023
2022-07-26,0.0,0.0,0.0001886154739949047
2022-07-27,-0.0013189862948182096,-0.00022111470069552505,-6.391138824400164e-06
2022-07-28,-0.0013734332716018101,9.396104658646002e-05,-5.4990817121113875e-06
2022-07-29,-0.0005524483557089342,0.0022104011891927668,-0.00018799432399454596
2022-08-01,0.003078703353988059,-0.0008999769450020755,0.002014293522975723
2022-08-02,-0.0009102739521326764,-0.0006753517243999033,-0.0018874611409402213
2022-08-03,-5.212159730816866e-05,0.004062958234046785,0.00016668801537259676
2022-08-04,-6.82444291319357e-05,-0.0004592547168463761,0.001337339443078262
2022-08-05,-0.0005826834767851095,2.395660256778154e-05,0.0002662597832925409
2022-08-08,-0.0012498294148048969,1.589678103416152e-05,0.00028832447836213036
