instrument,sharpe,max_drawdown,annualized_return,turnover
US_IRS_5Y,0.2088936085,-0.02955000576,0.00314307107,0.1312448538
CN_IRS_5Y,-0.1088607648,-0.02964227682,-0.001655766685,0.1297836423
USDCNY,0.3372505671,-0.03877282009,0.006034423029,0.1024599961
USDJPY,-1.036672549,-0.1138626444,-0.01731495525,0.1068179503
AUDUSD,-0.4841189166,-0.06373866193,-0.009203844373,0.08750110769
EURUSD,0.6551855152,-0.02529850505,0.01227564467,0.09676751327
